これ	this one	
それ	that one	
あれ	that one over there	
どれ	which one	
この	this	
その	that	
あの	that over there	
どの	which	
あそこ	over there	
どこ	where	
だれ	who	誰
おいしい	delicious	美味しい
さかな	fish	魚
とんかつ	pork cutlet	豚カツ
にく	meat	肉
メニュー	menu	
やさい	vegetable	野菜
えんぴつ	pencil	鉛筆
かさ	umbrella	傘
かばん	bag	鞄
くつ	shoes	靴
さいふ	wallet	財布
ジーンズ	jeans	
じしょ	dictionary	辞書
じてんしゃ	bicycle	自転車
しんぶん	newspaper	新聞
テープ	tape	
とけい	watch; clock	時計
トレーナー	sweatshirt	
ノート	notebook	
ペン	pen	
ぼうし	hat; cap	帽子
ほん	book	本
おてあらい	restroom	お手洗い
きっさてん	cafe	喫茶店
ぎんこう	bank	銀行
としょかん	library	図書館
ゆうびんきょく	post office	郵便局
アメリカ	U.S.A.	
イギリス	Britain	
かんこく	Korea	韓国
ちゅうごく	China	中国
けいざい	economics	経済
コンピューター	computer	
ビジネス	business	
れきし	history	歴史
おかあさん	mother	お母さん
おとうさん	father	お父さん
いくら	how much	
～えん	... yen	～円
たかい	expensive	高い
いらっしゃいませ	Welcome to our store	
（～を）おねがいします	..., please	（～を）お願いします
（～を）ください	Please give me ...	（～を）下さい
じゃあ	then; if that is the case	
（～を）どうぞ	Here it is	
どうも	Thank you	
